state,percent_white
Alabama,67.50
Alaska,63.40
Arizona,73.80
Arkansas,75.40
California,56.10
Colorado,81.50
Connecticut,74.20
Delaware,67.40
District of Columbia,41.10
Florida,71.60
Georgia,57.20
Hawaii,24.10
Idaho,88.40
Illinois,69.80
Indiana,82.30
Iowa,89.10
Kansas,83.00
Kentucky,86.20
Louisiana,61.20
Maine,93.70
Maryland,54.20
Massachusetts,76.60
Michigan,77.60
Minnesota,81.60
Mississippi,58.00
Missouri,81.30
Montana,87.80
Nebraska,85.30
Nevada,62.10
New Hampshire,92.00
New Jersey,65.50
New Mexico,70.00
New York,62.30
North Carolina,67.60
North Dakota,85.70
Ohio,80.50
Oklahoma,71.10
Oregon,82.60
Pennsylvania,79.40
Rhode Island,79.00
South Carolina,66.50
South Dakota,83.60
Tennessee,76.70
Texas,69.20
Utah,85.10
Vermont,93.60
Virginia,66.30
Washington,73.50
West Virginia,92.50
Wisconsin,84.30
Wyoming,90.30
Puerto Rico,60.00
