state,urban_pop,rural_pop,total_pop,urban_percent,rural_percent
ALABAMA,2900880,2123399,5024279,57.74,42.26
ALASKA,475967,257424,733391,64.9,35.1
ARIZONA,6385230,766272,7151502,89.29,10.71
ARKANSAS,1670677,1340847,3011524,55.48,44.52
CALIFORNIA,37259490,2278733,39538223,94.24,5.76
COLORADO,4966936,806778,5773714,86.03,13.97
CONNECTICUT,3110153,495791,3605944,86.25,13.75
DELAWARE,817817,172131,989948,82.61,17.39
DISTRICT OF COLUMBIA,689545,0,689545,100.0,0.0
FLORIDA,19714806,1823381,21538187,91.53,8.47
GEORGIA,7933986,2777922,10711908,74.07,25.93
HAWAII,1252450,202821,1455271,86.06,13.94
IDAHO,1273437,565669,1839106,69.24,30.76
ILLINOIS,11137590,1674918,12812508,86.93,13.07
INDIANA,4829686,1955842,6785528,71.18,28.82
IOWA,2014831,1175538,3190369,63.15,36.85
KANSAS,2124059,813821,2937880,72.3,27.7
KENTUCKY,2644856,1860980,4505836,58.7,41.3
LOUISIANA,3332237,1325520,4657757,71.54,28.46
MAINE,526309,836050,1362359,38.63,61.37
MARYLAND,5288760,888464,6177224,85.62,14.38
MASSACHUSETTS,6416895,613022,7029917,91.28,8.72
MICHIGAN,7404258,2673073,10077331,73.47,26.53
MINNESOTA,4101754,1604740,5706494,71.88,28.12
MISSISSIPPI,1370790,1590489,2961279,46.29,53.71
MISSOURI,4275663,1879250,6154913,69.47,30.53
MONTANA,579177,505048,1084225,53.42,46.58
NEBRASKA,1432003,529501,1961504,73.01,26.99
NEVADA,2921203,183411,3104614,94.09,5.91
NEW HAMPSHIRE,803420,574109,1377529,58.32,41.68
NEW JERSEY,8708779,580215,9288994,93.75,6.25
NEW MEXICO,1578552,538970,2117522,74.55,25.45
NEW YORK,17665166,2536083,20201249,87.45,12.55
NORTH CAROLINA,6964727,3474661,10439388,66.72,33.28
NORTH DAKOTA,474989,304105,779094,60.97,39.03
OHIO,9001099,2798349,11799448,76.28,23.72
OKLAHOMA,2558611,1400742,3959353,64.62,35.38
OREGON,3410984,826272,4237256,80.5,19.5
PENNSYLVANIA,9941070,3061630,13002700,76.45,23.55
RHODE ISLAND,999191,98188,1097379,91.05,8.95
SOUTH CAROLINA,3477869,1640556,5118425,67.95,32.05
SOUTH DAKOTA,507347,379320,886667,57.22,42.78
TENNESSEE,4577282,2333558,6910840,66.23,33.77
TEXAS,24400697,4744808,29145505,83.72,16.28
UTAH,2937303,334313,3271616,89.78,10.22
VERMONT,225850,417227,643077,35.12,64.88
VIRGINIA,6528313,2103080,8631393,75.63,24.37
WASHINGTON,6424035,1281246,7705281,83.37,16.63
WEST VIRGINIA,800857,992859,1793716,44.65,55.35
WISCONSIN,3953691,1940027,5893718,67.08,32.92
WYOMING,357750,219101,576851,62.02,37.98
PUERTO RICO,3018908,266966,3285874,91.88,8.12
