state,percent_democrat,percent_republican
ALABAMA,36.57,62.03
ALASKA,42.77,52.83
ARIZONA,49.36,49.06
ARKANSAS,34.78,62.4
CALIFORNIA,63.48,34.32
COLORADO,55.01,41.6
CONNECTICUT,59.26,39.19
DELAWARE,58.74,39.77
DISTRICT OF COLUMBIA,92.15,5.4
FLORIDA,47.86,51.22
GEORGIA,49.47,49.24
HAWAII,63.15,33.95
IDAHO,33.07,63.84
ILLINOIS,57.54,40.55
INDIANA,40.96,57.02
IOWA,44.65,52.8
KANSAS,41.56,56.21
KENTUCKY,36.15,62.09
LOUISIANA,39.85,58.46
MAINE,52.53,43.55
MARYLAND,65.36,32.15
MASSACHUSETTS,65.12,31.91
MICHIGAN,50.62,47.84
MINNESOTA,52.4,45.28
MISSISSIPPI,41.06,57.6
MISSOURI,41.41,56.8
MONTANA,40.55,56.92
NEBRASKA,39.17,58.22
NEVADA,50.06,47.67
NEW HAMPSHIRE,52.71,45.36
NEW JERSEY,57.33,41.4
NEW MEXICO,54.29,43.5
NEW YORK,60.39,37.46
NORTH CAROLINA,48.59,49.93
NORTH DAKOTA,31.76,65.11
OHIO,45.24,53.27
OKLAHOMA,32.29,65.37
OREGON,56.45,40.37
PENNSYLVANIA,50.01,48.84
RHODE ISLAND,59.48,38.67
SOUTH CAROLINA,43.42,55.09
SOUTH DAKOTA,35.61,61.77
TENNESSEE,37.45,60.66
TEXAS,46.48,52.06
UTAH,37.65,58.13
VERMONT,65.46,30.38
VIRGINIA,54.11,44.0
WASHINGTON,57.97,38.77
WEST VIRGINIA,29.7,68.63
WISCONSIN,49.45,48.82
WYOMING,26.39,69.5
